Date,Price,Open,High,Low,Vol.,Change %
Jul-17,2470.30,2431.39,2484.04,2407.70,-,0.0193
Jun-17,2423.41,2415.65,2453.82,2405.70,-,0.0048
May-17,2411.80,2388.50,2418.71,2352.72,-,0.0116
Apr-17,2384.20,2362.34,2398.16,2328.95,-,0.0091
Mar-17,2362.72,2380.13,2400.98,2322.25,-,-0.0004
Feb-17,2363.64,2285.59,2371.54,2271.65,-,0.0372
Jan-17,2278.87,2251.57,2300.99,2245.13,-,0.0179
Dec-16,2238.83,2200.17,2277.53,2187.44,-,0.0182
Nov-16,2198.81,2128.68,2214.10,2083.79,-,0.0342
Oct-16,2126.15,2164.33,2169.60,2114.72,-,-0.0194
Sep-16,2168.27,2171.33,2187.87,2119.12,-,-0.0012
Aug-16,2170.95,2173.15,2193.81,2147.58,-,-0.0012
Jul-16,2173.60,2099.34,2177.09,2074.02,-,0.0356
Jun-16,2098.86,2093.94,2120.55,1991.68,-,0.0009
May-16,2096.96,2067.17,2103.48,2025.91,-,0.0153
Apr-16,2065.30,2056.62,2111.05,2033.80,-,0.0027
Mar-16,2059.74,1937.09,2072.21,1937.09,-,0.0660
Feb-16,1932.23,1936.94,1962.96,1810.10,-,-0.0041
Jan-16,1940.24,2038.20,2038.20,1812.29,-,-0.0507
Dec-15,2043.94,2082.93,2104.27,1993.26,-,-0.0175
Nov-15,2080.41,2080.76,2116.48,2019.39,-,0.0005
Oct-15,2079.36,1919.65,2094.32,1893.70,-,0.0830
Sep-15,1920.03,1970.09,2020.86,1871.91,-,-0.0264
Aug-15,1972.18,2104.49,2112.66,1867.01,-,-0.0626
Jul-15,2103.84,2067.00,2132.82,2044.02,-,0.0197
Jun-15,2063.11,2108.64,2129.87,2056.32,-,-0.0210
May-15,2107.39,2087.38,2134.72,2067.93,-,0.0105
Apr-15,2085.51,2067.63,2125.92,2048.38,-,0.0085
Mar-15,2067.89,2105.23,2117.52,2039.69,-,-0.0174
Feb-15,2104.50,1996.67,2119.59,1980.90,-,0.0549
Jan-15,1994.99,2058.90,2072.36,1988.12,-,-0.0310
Dec-14,2058.90,2065.78,2093.55,1972.56,-,-0.0042
Nov-14,2067.56,2018.21,2075.76,2001.01,-,0.0245
Oct-14,2018.05,1971.44,2018.19,1820.66,-,0.0232
Sep-14,1972.29,2004.07,2019.26,1964.04,-,-0.0155
Aug-14,2003.37,1929.80,2005.04,1904.78,-,0.0377
Jul-14,1930.67,1962.29,1991.39,1930.67,-,-0.0151
Jun-14,1960.23,1923.87,1968.17,1915.98,-,0.0191
May-14,1923.57,1884.39,1924.03,1859.79,-,0.0210
Apr-14,1883.95,1873.96,1897.28,1814.36,-,0.0062
Mar-14,1872.34,1857.68,1883.97,1834.44,-,0.0069
Feb-14,1859.45,1782.68,1867.92,1737.92,-,0.0431
Jan-14,1782.59,1845.86,1850.84,1770.45,-,-0.0356
Dec-13,1848.36,1806.55,1849.44,1767.99,-,0.0236
Nov-13,1805.81,1758.70,1813.55,1746.20,-,0.0280
Oct-13,1756.54,1682.41,1775.22,1646.47,-,0.0446
Sep-13,1681.55,1635.95,1729.86,1633.41,-,0.0297
Aug-13,1632.97,1689.42,1709.67,1627.47,-,-0.0313
Jul-13,1685.73,1609.78,1698.78,1604.57,-,0.0495
Jun-13,1606.28,1631.71,1654.19,1560.33,-,-0.0150
May-13,1630.74,1597.55,1687.18,1581.28,-,0.0208
Apr-13,1597.57,1569.18,1597.57,1536.03,-,0.0181
Mar-13,1569.19,1514.68,1570.28,1501.48,-,0.0360
Feb-13,1514.68,1498.11,1530.94,1485.01,-,0.0111
Jan-13,1498.11,1426.19,1509.94,1426.19,-,0.0504
Dec-12,1426.19,1416.34,1448.00,1398.11,-,0.0071
Nov-12,1416.18,1412.20,1434.27,1343.35,-,0.0028
Oct-12,1412.16,1440.90,1470.96,1403.28,-,-0.0198
Sep-12,1440.67,1406.54,1474.51,1396.56,-,0.0242
Aug-12,1406.58,1379.32,1426.68,1354.65,-,0.0198
